Denker, Carsten:21
Arlt, Rainer:4
Diercke, Andrea:18
Cherstvy, Andrey G.:70
Metzler, Ralf:190
Shin, Jaeoh:8
Ehlert, Christopher:12
Saalfrank, Peter:134
Kröner, Dominik:11
Kalbe, Johannes:5
Mischke, Steffen:43
Sharon, Gonen:2
Dulski, Peter:11
Germonpre, Mietje:2
Hofreiter, Michael:66
Stiller, Mathias:4
Despres, Viviane:1
Sablin, Mikhail V.:1
Laznickova-Galetova, Martina:1
Stevens, Rhiannon E.:1
Bondü, Rebecca:16
Esser, Günter:247
Gräter, Joachim:9
Wirths, Karl-Joachim:1
Brand, Ralf:49
Schweizer, Geoffrey:7
Le Friant, A.:1
Boudon, G.:1
Maeno, F.:1
Sparks, S.:1
Ishizuka, O.:1
Endo, D.:1
Slagle, A.:1
Jutzeler, M.:1
Fujinawa, A.:1
Stinton, A.:1
Morgan, S.:1
Tamura, Y.:1
Voight, B.:1
Palmer, M. R.:1
Lebas, E.:1
Watt, S. F. L.:1
Feuillet, N.:1
Kataoka, K. S.:1
Komorowski, J. -C.:1
Aljahdali, M.:1
Brunet, M.:1
Deplus, C.:1
Martinez-Colon, M.:1
Hatfield, R. G.:1
Hart, M. B.:1
Villemant, B.:1
Hornbach, M.:1
Fraas, A. J.:1
Caron, B.:1
Saito, T.:10
Wang, F.:1
McCanta, M.:1
Stroncik, Nicole:4
Lafuerza, S.:1
Subramanyam, K. S. V.:1
Manga, M.:1
Adachi, T.:1
Coussens, M.:1
Breitkreuz, C.:1
Talling, P. J.:1
Wall-Palmer, D.:1
Trofimovs, J.:1
Caruso, Tancredi:1
Rillig, Matthias C.:15
Ristow, Michael:39
Hempel, Stefan:3
Kowarik, Ingo:5
Horn, Sebastian:4
Senge, Mathias O.:16
Holdt, Hans-Jürgen:89
Dahms, Katja:4
Kelling, Alexandra:84
Boeniger, Urs:8
Tronicke, Jens:46
Thiange, Christophe:2
Petzoldt, Thomas:5
Mooij, Wolf M.:8
Janssen, Annette B. G.:3
Kooi, Bob W.:2
Gerla, Daan J.:3
de Klein, Jeroen J. M.:2
van Gerven, Luuk P. A.:2
Liu, Sien:1
Downing, Andrea S.:3
DeAngelis, Don L.:2
Brederveld, Robert J.:2
Teurlincx, Sven:5
van Nes, Egbert H.:2
Schep, Sebastiaan A.:3
Trolle, Dennis:3
Kuiper, Jan J.:4
Faber, Michiel:2
Janse, Jan H.:5
Lischke, Betty:9
Jeuken, Michel:2
Herr, Raphael M.:1
Mayer, Frank:104
Görig, Tatiana:1
Diehl, Katharina:5
Mayer, Manfred:1
Schneider, Sven:3
Bock, Christina:1
Konrad-Schmolke, Matthias:12
Halama, Ralf:7
Mielke, Christian:5
Kaufmann, Hermann:5
Rogass, Christian:6
Bösche, Nina Kristine:5
Gauert, Christoph:2
Thamsen, Lauritz:2
Steinert, Bastian:5
Hirschfeld, Robert:16
Felgentreff, Tim:4
Freudenberg, Bert:1
Ingalls, Dan:1
Pape, Tobias:3
Kleuser, Burkhard:92
Püschel, Gerhard Paul:46
Neuschäfer-Rube, Frank:18
Neuber, Corinna:6
Ringel, Sebastian:2
Schraplau, Anne:9
Schewe, Bettina:5
Heuer, A.:1
Milonni, P. W.:2
Menzel, R.:1
Ferri, James K.:3
Gambinossi, Filippo:2
Sefcik, Lauren S.:1
Wischerhoff, Erik:23
Laschewsky, André:122
Hebert, Andreas:1
Schulze, Michael:3
Utecht, Manuel Martin:15
Rück-Braun, Karola:2
Tegeder, Petra:7
Benduhn, Johannes:13
Spoltore, Donato:9
Lange, Ilja:8
Piersimoni, Fortunato:11
Vandewal, Koen:16
Reiter, Sina:3
Koch, Norbert:26
Schlesinger, Raphael:2
Neher, Dieter:218
Wirth, Jonas:12
Tong, Yujin:3
Campen, R. Kramer:6
Wolf, Martin:6
Kirsch, Harald:4
