Denker, Carsten:21
Arlt, Rainer:4
Diercke, Andrea:18
Cherstvy, Andrey G.:70
Metzler, Ralf:190
Shin, Jaeoh:8
Ehlert, Christopher:12
Saalfrank, Peter:134
Kröner, Dominik:11
Kalbe, Johannes:5
Mischke, Steffen:43
Sharon, Gonen:2
Dulski, Peter:11
Germonpre, Mietje:2
Hofreiter, Michael:66
Stiller, Mathias:4
Bondü, Rebecca:16
Esser, Günter:247
Gräter, Joachim:9
Brand, Ralf:49
Schweizer, Geoffrey:7
Saito, T.:10
Stroncik, Nicole:4
Rillig, Matthias C.:15
Ristow, Michael:39
Hempel, Stefan:3
Kowarik, Ingo:5
Horn, Sebastian:4
Senge, Mathias O.:16
Holdt, Hans-Jürgen:89
Dahms, Katja:4
Kelling, Alexandra:84
Boeniger, Urs:8
Tronicke, Jens:46
Thiange, Christophe:2
Petzoldt, Thomas:5
Mooij, Wolf M.:8
Janssen, Annette B. G.:3
Kooi, Bob W.:2
Gerla, Daan J.:3
de Klein, Jeroen J. M.:2
van Gerven, Luuk P. A.:2
Downing, Andrea S.:3
DeAngelis, Don L.:2
Brederveld, Robert J.:2
Teurlincx, Sven:5
van Nes, Egbert H.:2
Schep, Sebastiaan A.:3
Trolle, Dennis:3
Kuiper, Jan J.:4
Faber, Michiel:2
Janse, Jan H.:5
Lischke, Betty:9
Jeuken, Michel:2
Mayer, Frank:104
Diehl, Katharina:5
Schneider, Sven:3
Konrad-Schmolke, Matthias:12
Halama, Ralf:7
Mielke, Christian:5
Kaufmann, Hermann:5
Rogass, Christian:6
Bösche, Nina Kristine:5
Gauert, Christoph:2
Thamsen, Lauritz:2
Steinert, Bastian:5
Hirschfeld, Robert:16
Felgentreff, Tim:4
Pape, Tobias:3
Kleuser, Burkhard:92
Püschel, Gerhard Paul:46
Neuschäfer-Rube, Frank:18
Neuber, Corinna:6
Ringel, Sebastian:2
Schraplau, Anne:9
Schewe, Bettina:5
Milonni, P. W.:2
Ferri, James K.:3
Gambinossi, Filippo:2
Wischerhoff, Erik:23
Laschewsky, André:122
Schulze, Michael:3
Utecht, Manuel Martin:15
Rück-Braun, Karola:2
Tegeder, Petra:7
Benduhn, Johannes:13
Spoltore, Donato:9
Lange, Ilja:8
Piersimoni, Fortunato:11
Vandewal, Koen:16
Reiter, Sina:3
Koch, Norbert:26
Schlesinger, Raphael:2
Neher, Dieter:218
Wirth, Jonas:12
Tong, Yujin:3
Campen, R. Kramer:6
Wolf, Martin:6
Kirsch, Harald:4
Turner, Joshua J.:9
Minitti, Michael P.:9
Schlotter, William F.:14
Moeller, Stefan P.:6
Ross, Matthew:3
Dakovski, Georgi L.:8
Hantschmann, Markus:6
Beye, Martin:32
Huse, Nils:3
Pietzsch, Annette:25
Föhlisch, Alexander:85
Khalil, Munira:3
Eckert, Sebastian Oliver:23
Quevedo, Wilson:20
Bugaev, V.:66
Fleischhack, H.:30
Aliu, E.:29
Falcone, A.:66
Vincent, S.:35
Bird, R.:39
Zajczyk, A.:22
Connolly, M. P.:53
Nieto, D.:36
Williams, D. A.:65
McCann, A.:49
Aune, T.:36
Tucci, J. V.:27
Barnacka, Anna:36
Holder, J.:70
Gillanders, G. H.:44
Eisch, J. D.:19
Kertzman, M.:66
Pueschel, Elisa:34
Meagher, K.:24
Buckley, J. H.:56
Griffin, S.:56
Staszak, D.:50
Dickinson, H. J.:29
Sembroski, G. H.:69
Telezhinsky, Igor O.:56
Quinn, J.:66
Fortson, L.:69
Griffiths, S. T.:20
Kaaret, P.:64
Lyutikov, M.:4
Madhavan, A. S.:30
Reynolds, P. T.:67
Zitzer, B.:61
Byrum, K.:33
Roache, E.:71
Dumm, J.:32
Archambault, S.:36
Errando, M.:38
Ong, R. A.:73
Weinstein, A.:66
Krennrich, F.:60
Cardenzana, J. V.:18
Finley, J. P.:65
